time,acc_x,acc_y,acc_z,gyo_x,gyo_y,gyo_z
2017-01-13_14:46:01.339,-42,-65,3919,-85,-24,-15
2017-01-13_14:46:01.342,-43,-69,3911,-77,-34,-25
2017-01-13_14:46:01.346,-15,-86,3900,-132,-27,-2
2017-01-13_14:46:01.350,-27,-60,3904,-127,-29,-14
2017-01-13_14:46:01.354,-29,-50,3890,-111,-27,-37
2017-01-13_14:46:01.358,-27,-73,3948,-78,-23,-4
2017-01-13_14:46:01.361,-44,-68,3926,-89,-31,-24
2017-01-13_14:46:01.364,-29,-66,3931,-106,-36,-8
2017-01-13_14:46:01.368,-44,-58,3909,-100,-28,-31
2017-01-13_14:46:01.371,-47,-59,3914,-97,-29,-43
2017-01-13_14:46:01.375,-44,-62,3915,-112,-33,-33
2017-01-13_14:46:01.379,-19,-49,3898,-75,-29,-17
2017-01-13_14:46:01.382,-26,-64,3936,-87,-25,-31
2017-01-13_14:46:01.386,-57,-67,3915,-93,-16,-26
2017-01-13_14:46:01.389,-19,-77,3931,-112,-3,-12
2017-01-13_14:46:01.393,-74,-56,3916,-132,-33,-20
2017-01-13_14:46:01.396,-59,-99,3923,-95,-43,-7
2017-01-13_14:46:01.400,-49,-78,3894,-72,-44,218
2017-01-13_14:46:01.403,-45,-55,3925,-73,-33,-46
2017-01-13_14:46:01.407,-54,-84,3929,-77,-31,-254
2017-01-13_14:46:01.411,-20,-67,3923,-119,-26,-20
2017-01-13_14:46:01.414,-47,-55,3897,-111,-36,-32
2017-01-13_14:46:01.418,-40,-88,3928,-105,-28,208
2017-01-13_14:46:01.421,-21,-78,3912,-64,-27,-29
2017-01-13_14:46:01.425,-10,-73,3932,-102,-19,-28
2017-01-13_14:46:01.429,-42,-71,3956,-106,-48,-3
2017-01-13_14:46:01.433,-31,-64,3924,-123,-26,-27
2017-01-13_14:46:01.436,-26,-80,3901,-129,-32,-252
2017-01-13_14:46:01.440,-44,-74,3906,-99,-43,-40
2017-01-13_14:46:01.444,-59,-75,3906,-96,-42,-8
2017-01-13_14:46:01.447,-22,-59,3933,-73,-42,-9
2017-01-13_14:46:01.451,-29,-67,3905,-87,-30,-36
2017-01-13_14:46:01.454,-44,-83,3926,-132,-27,-14
2017-01-13_14:46:01.458,-47,-76,3966,-119,-25,-19
2017-01-13_14:46:01.461,-24,-55,3956,-107,-34,-18
2017-01-13_14:46:01.465,-36,-60,3930,-68,-42,-46
2017-01-13_14:46:01.468,-19,-68,3950,-88,-50,-51
2017-01-13_14:46:01.472,-48,-54,3890,-100,-24,-25
2017-01-13_14:46:01.476,-20,-39,3946,-126,-39,-20
2017-01-13_14:46:01.479,-36,-60,3949,-115,-11,-43
2017-01-13_14:46:01.483,-27,-68,3922,-109,-24,-13
2017-01-13_14:46:01.486,-53,-95,3895,-91,-38,-9
2017-01-13_14:46:01.490,-22,-86,3916,-60,-18,-15
